Time,10 uL/s,20 uL/s,50 uL/s,65 uL/s,80 uL/s
0,-0.003181818,-0.003636364,-0.003181818,-0.002727273,-0.001818182
0.2,-0.003333333,-0.003787879,-0.003181818,-0.002727273,-0.001818182
0.4,-0.003333333,-0.003787879,-0.003181818,-0.002727273,0.006515152
0.6,-0.003333333,-0.003787879,-0.003181818,-0.002727273,0.01969697
0.8,-0.003333333,-0.003939394,-0.003181818,0.006212121,0.050606061
1,-0.003333333,-0.003939394,-0.003181818,0.008333333,0.070909091
1.2,-0.003333333,-0.003939394,-0.003030303,0.023787879,0.094242424
1.4,-0.003333333,-0.003939394,-0.003030303,0.044090909,0.11469697
1.6,-0.003333333,-0.004090909,-0.003181818,0.066515152,0.135
1.8,-0.003333333,-0.000151515,-0.003181818,0.082121212,0.15530303
2,-0.003333333,0.01030303,0.004393939,0.103939394,0.175454546
2.2,-0.003333333,0.017272727,0.005909091,0.119393939,0.191363636
2.4,-0.003333333,0.021969697,0.009242424,0.133181818,0.207878788
2.6,-0.003333333,0.027272727,0.011666667,0.149090909,0.226363636
2.8,-0.003333333,0.035606061,0.014393939,0.165151515,0.246515152
3,-0.00030303,0.038181818,0.027878788,0.181363636,0.262121212
3.2,0.00030303,0.043181818,0.037121212,0.197272727,0.281969697
3.4,0.006818182,0.050454545,0.05030303,0.209090909,0.300151515
3.6,0.011212121,0.056818182,0.060909091,0.225909091,0.315757576
3.8,0.015151515,0.059090909,0.08,0.242727273,0.333484849
4,0.015909091,0.063484848,0.091818182,0.253484849,0.35030303
4.2,0.016515152,0.069242424,0.103181818,0.269242424,0.365454546
4.4,0.020151515,0.076212121,0.116363636,0.280757576,0.388030303
4.6,0.024545455,0.077727273,0.129848485,0.29530303,0.401515152
4.8,0.031212121,0.08,0.141060606,0.314545455,0.420757576
5,0.034848485,0.086515152,0.153636364,0.323484849,0.438181818
5.2,0.035151515,0.093030303,0.163030303,0.338636364,0.456060606
5.4,0.035454545,0.096363636,0.173787879,0.352878788,0.474242424
5.6,0.038939394,0.098030303,0.181515152,0.366666667,0.49
5.8,0.039545455,0.102575758,0.194090909,0.383787879,0.508787879
6,0.045909091,0.11030303,0.206969697,0.39969697,0.525151515
6.2,0.05,0.115606061,0.218636364,0.41,0.543484849
6.4,0.053484848,0.116818182,0.228939394,0.422727273,0.561969697
6.6,0.05530303,0.121363636,0.240606061,0.436666667,0.57469697
6.8,0.057575758,0.129393939,0.251363636,0.453333333,0.595454546
7,0.060151515,0.137272727,0.261515152,0.468939394,0.612424242
7.2,0.063333333,0.143939394,0.272878788,0.479848485,0.629242424
7.4,0.063787879,0.153484849,0.283787879,0.496212121,0.649545455
7.6,0.065909091,0.154242424,0.293939394,0.509242424,0.665454546
7.8,0.066212121,0.154393939,0.30469697,0.526515152,0.684242424
8,0.068636364,0.15469697,0.313181818,0.539393939,0.703484849
8.2,0.068787879,0.15469697,0.327424242,0.552575758,0.716060606
8.4,0.068939394,0.15469697,0.337424242,0.57030303,0.72969697
8.6,0.068939394,0.15469697,0.346969697,0.580151515,0.731363636
8.8,0.068939394,0.15469697,0.360606061,0.59,0.731515152
9,0.068939394,0.15469697,0.371060606,0.590909091,0.731515152
9.2,0.068939394,0.15469697,0.383787879,0.590909091,0.731515152
9.4,0.068939394,0.15469697,0.393333333,0.591212121,0.731515152
9.6,0.068787879,0.15469697,0.403030303,0.591212121,0.731515152
9.8,0.068787879,0.15469697,0.412878788,0.591212121,0.731666667
10,0.068787879,0.15469697,0.425757576,0.591212121,0.731666667
10.2,0.068787879,0.15469697,0.435606061,0.591212121,0.731666667
10.4,0.068939394,0.154393939,0.437424242,0.591212121,0.731666667
10.6,0.068939394,0.154393939,0.437878788,0.591212121,0.731666667
10.8,0.068939394,0.154393939,0.438030303,0.591212121,0.731818182
11,0.068939394,0.154393939,0.438030303,0.591212121,0.731818182
11.2,0.068939394,0.154393939,0.438030303,0.591212121,0.731666667
11.4,0.068939394,0.154393939,0.438030303,0.591212121,0.731666667
11.6,0.068939394,0.154393939,0.438030303,0.591060606,0.731666667
11.8,0.068939394,0.154393939,0.438030303,0.591060606,0.731666667
12,0.068939394,0.154393939,0.438030303,0.591060606,0.731666667
12.2,0.068939394,0.154242424,0.438181818,0.591060606,0.731666667
12.4,0.068939394,0.154242424,0.438181818,0.591060606,0.731666667
12.6,0.068939394,0.154242424,0.438181818,0.591060606,0.731666667
12.8,0.068939394,0.154242424,0.438181818,0.591060606,0.731666667
13,0.069090909,0.154090909,0.438181818,0.591060606,0.731666667
13.2,0.069090909,0.154090909,0.438181818,0.591060606,0.731666667
13.4,0.069090909,0.154090909,0.438181818,0.591060606,0.731666667
13.6,0.069090909,0.154090909,0.438181818,0.590909091,0.731666667
13.8,0.069090909,0.154090909,0.438181818,0.590909091,0.731666667
14,0.069090909,0.154090909,0.438181818,0.590909091,0.731666667
14.2,0.068484848,0.154090909,0.438181818,0.590909091,0.731666667
14.4,0.067727273,0.154090909,0.438181818,0.590909091,0.731666667
14.6,0.067727273,0.153939394,0.438181818,0.590909091,0.731666667
14.8,0.067878788,0.153939394,0.438181818,0.590909091,0.731666667
15,0.068181818,0.153939394,0.438181818,0.590909091,0.731666667
15.2,0.068181818,0.153939394,0.438181818,0.590909091,0.731515152
15.4,0.068333333,0.153939394,0.438181818,0.590909091,0.731363636
15.6,0.068333333,0.153939394,0.438181818,0.590909091,0.731363636
15.8,0.068333333,0.153939394,0.438181818,0.590909091,0.731363636
16,0.068484848,0.153939394,0.438181818,0.590909091,0.731363636
16.2,0.068484848,0.153939394,0.438181818,0.590909091,0.731060606
16.4,0.068484848,0.153939394,0.438181818,0.590909091,0.731060606
16.6,0.068484848,0.153939394,0.438181818,0.590909091,0.731060606
16.8,0.068484848,0.153939394,0.438181818,0.590757576,0.731060606
17,0.068484848,0.153939394,0.438181818,0.590757576,0.731060606
17.2,0.068484848,0.153939394,0.438181818,0.590757576,0.731060606
17.4,0.068484848,0.153939394,0.438030303,0.590757576,0.731060606
17.6,0.068484848,0.153939394,0.438030303,0.590757576,0.731060606
17.8,0.068484848,0.153939394,0.437878788,0.590757576,0.731060606
18,0.068484848,0.153939394,0.437878788,0.590757576,0.731060606
18.2,0.068484848,0.153939394,0.437878788,0.590606061,0.730909091
18.4,0.068484848,0.153787879,0.437878788,0.590454546,0.730909091
18.6,0.068484848,0.153787879,0.437878788,0.590454546,0.730909091
18.8,0.068484848,0.153787879,0.437878788,0.590454546,0.730909091
19,0.068484848,0.153787879,0.437878788,0.590454546,0.730909091
19.2,0.068484848,0.153787879,0.437878788,0.590454546,0.730909091
19.4,0.068484848,0.153787879,0.437727273,0.590454546,0.730909091
19.6,0.068484848,0.153787879,0.437727273,0.590454546,0.730909091
19.8,0.068636364,0.153787879,0.437727273,0.590454546,0.730909091
20,0.068636364,0.153787879,0.437727273,0.590454546,0.730909091
20.2,0.068636364,0.153787879,0.437727273,0.590454546,0.730909091
20.4,0.068636364,0.153787879,0.437727273,0.590454546,0.730909091
20.6,0.068636364,0.153787879,0.437727273,0.590454546,0.730909091
20.8,0.068636364,0.153787879,0.437727273,0.59030303,0.730909091
21,0.068636364,0.153787879,0.437727273,0.59030303,0.730909091
21.2,0.068636364,0.153787879,0.437727273,0.59030303,0.730909091
21.4,0.068636364,0.153787879,0.437727273,0.59030303,0.730909091
21.6,0.068636364,0.153787879,0.437727273,0.59030303,0.730909091
21.8,0.068636364,0.153787879,0.437727273,0.59030303,0.730909091
22,0.068636364,0.153787879,0.437727273,0.59030303,0.730909091
22.2,0.068636364,0.153787879,0.437727273,0.59030303,0.730909091
22.4,0.068484848,0.153787879,0.437727273,0.59030303,0.730909091
22.6,0.067727273,0.153787879,0.437727273,0.590454546,0.730909091
22.8,0.067727273,0.153787879,0.437727273,0.590454546,0.730909091
23,0.067727273,0.153787879,0.437727273,0.590454546,0.730909091
23.2,0.067878788,0.153787879,0.437575758,0.590454546,0.730909091
23.4,0.067878788,0.153787879,0.437575758,0.590454546,0.730909091
23.6,0.068030303,0.153787879,0.437424242,0.590454546,0.730909091
23.8,0.068181818,0.153636364,0.437424242,0.590454546,0.730909091
24,0.068333333,0.153636364,0.437424242,0.590454546,0.730909091
24.2,0.068333333,0.153484849,0.437424242,0.590454546,0.730909091
24.4,0.068333333,0.153484849,0.437424242,0.590454546,0.730909091
24.6,0.068333333,0.153484849,0.437424242,0.590454546,0.730909091
24.8,0.068484848,0.153484849,0.437424242,0.590454546,0.730909091
25,0.068484848,0.153484849,0.437424242,0.59030303,0.730909091
25.2,0.068484848,0.153484849,0.437424242,0.59030303,0.730909091
25.4,0.068484848,0.153484849,0.437424242,0.590151515,0.730909091
25.6,0.068787879,0.153484849,0.437424242,0.590151515,0.730909091
25.8,0.068939394,0.153484849,0.437424242,0.590151515,0.730909091
26,0.068939394,0.153484849,0.437424242,0.590151515,0.730909091
26.2,0.069090909,0.153484849,0.437424242,0.590151515,0.730909091
26.4,0.069090909,0.153484849,0.437424242,0.590151515,0.730909091
26.6,0.068939394,0.153484849,0.437424242,0.590151515,0.730909091
26.8,0.068939394,0.153484849,0.437424242,0.590151515,0.730909091
27,0.068939394,0.153484849,0.437424242,0.590151515,0.730909091
27.2,0.068787879,0.153484849,0.437424242,0.590151515,0.730909091
27.4,0.068787879,0.153484849,0.437424242,0.590151515,0.730909091
27.6,0.068787879,0.153484849,0.437424242,0.590151515,0.730909091
27.8,0.068484848,0.153484849,0.437272727,0.590151515,0.730909091
28,0.068484848,0.153484849,0.437272727,0.590151515,0.730909091
28.2,0.068030303,0.153484849,0.437272727,0.590151515,0.730909091
28.4,0.068030303,0.153484849,0.437272727,0.590151515,0.730909091
28.6,0.068030303,0.153484849,0.437272727,0.590151515,0.730909091
28.8,0.067878788,0.153484849,0.437272727,0.590151515,0.730909091
29,0.067878788,0.153484849,0.437272727,0.59,0.730909091
29.2,0.067878788,0.153484849,0.437272727,0.59,0.730909091
29.4,0.067878788,0.153484849,0.437272727,0.59,0.730909091
29.6,0.067878788,0.153484849,0.437272727,0.59,0.730909091
29.8,0.067878788,0.153484849,0.437272727,0.59,0.730909091
30,0.068333333,0.153484849,0.437272727,0.59,0.730909091
30.2,0.068333333,0.153484849,0.437424242,0.59,0.730909091
30.4,0.068333333,0.153484849,0.437424242,0.59,0.730909091
30.6,0.068333333,0.153484849,0.437424242,0.59,0.730909091
30.8,0.068333333,0.153484849,0.437424242,0.590151515,0.730909091
31,0.068333333,0.153484849,0.437424242,0.590151515,0.730909091
31.2,0.068333333,0.153484849,0.437424242,0.590151515,0.730909091
31.4,0.068181818,0.153484849,0.437272727,0.59030303,0.730909091
31.6,0.068181818,0.153484849,0.437272727,0.59030303,0.730909091
31.8,0.068181818,0.153484849,0.437272727,0.59030303,0.730909091
32,0.068181818,0.153409091,0.437272727,0.59030303,0.730909091
32.2,0.068181818,0.153409091,0.437272727,0.59030303,0.730909091
32.4,0.068030303,0.153409091,0.437272727,0.59030303,0.730909091
32.6,0.068030303,0.153409091,0.437272727,0.59030303,0.730909091
32.8,0.068030303,0.153409091,0.437272727,0.59030303,0.730909091
33,0.068181818,0.153409091,0.437424242,0.590454546,0.730909091
33.2,0.068181818,0.153409091,0.437424242,0.59030303,0.730909091
33.4,0.068181818,0.153409091,0.437424242,0.59030303,0.730909091
33.6,0.068181818,0.153409091,0.437424242,0.59030303,0.730909091
33.8,0.068181818,0.153409091,0.437424242,0.59030303,0.730909091
34,0.068333333,0.153409091,0.437424242,0.59030303,0.730909091
34.2,0.068333333,0.153409091,0.437424242,0.59030303,0.730909091
34.4,0.068333333,0.153409091,0.437424242,0.59030303,0.730909091
34.6,0.068333333,0.153409091,0.437424242,0.59030303,0.730909091
34.8,0.068333333,0.153409091,0.437424242,0.59030303,0.730909091
35,0.068333333,0.153409091,0.437424242,0.59030303,0.730909091
35.2,0.068333333,0.153409091,0.437424242,0.59030303,0.730909091
35.4,0.068333333,0.153409091,0.437424242,0.59030303,0.730909091
35.6,0.068333333,0.153409091,0.437424242,0.590454546,0.730909091
35.8,0.068333333,0.153409091,0.437424242,0.590606061,0.730909091
36,0.068333333,0.153409091,0.437272727,0.590606061,0.730909091
36.2,0.068333333,0.153409091,0.437272727,0.590606061,0.730909091
36.4,0.068333333,0.153409091,0.437272727,0.590606061,0.730909091
36.6,0.068333333,0.153409091,0.437272727,0.590606061,0.730909091
36.8,0.068333333,0.153409091,0.437272727,0.590606061,0.730909091
37,0.068333333,0.153598485,0.437272727,0.590454546,0.730909091
37.2,0.068333333,0.153598485,0.437272727,0.590454546,0.730909091
37.4,0.068333333,0.153598485,0.437272727,0.590454546,0.730909091
37.6,0.068333333,0.153598485,0.437121212,0.590454546,0.730757576
37.8,0.068333333,0.153598485,0.437121212,0.590454546,0.730757576
38,0.068333333,0.153598485,0.437121212,0.590454546,0.730757576
38.2,0.068181818,0.153598485,0.437121212,0.590454546,0.730757576
38.4,0.068181818,0.153598485,0.437121212,0.590454546,0.730757576
38.6,0.068181818,0.153598485,0.437121212,0.590454546,0.730757576
38.8,0.068181818,0.153598485,0.437121212,0.59030303,0.730757576
39,0.068181818,0.153598485,0.437121212,0.59030303,0.730757576
39.2,0.068181818,0.153598485,0.437121212,0.59030303,0.730757576
39.4,0.068181818,0.153598485,0.437121212,0.59030303,0.730757576
39.6,0.068181818,0.153598485,0.437121212,0.59030303,0.730757576
39.8,0.068181818,0.153598485,0.437121212,0.59030303,0.730757576
40,0.068181818,0.153598485,0.437121212,0.59030303,0.730757576
40.2,0.068181818,0.153598485,0.437121212,0.59030303,0.730757576
40.4,0.068181818,0.153598485,0.437121212,0.59030303,0.730757576
40.6,0.068181818,0.153598485,0.437121212,0.59030303,0.730757576
40.8,0.068333333,0.153598485,0.437121212,0.59030303,0.730757576
41,0.068787879,0.153598485,0.437121212,0.59030303,0.730757576
41.2,0.069090909,0.153598485,0.437121212,0.59030303,0.730757576
41.4,0.069090909,0.153787879,0.437121212,0.59030303,0.730757576
41.6,0.069090909,0.153977273,0.437121212,0.59030303,0.730757576
